SUBSTITUIÇÃO DE CONEXÃO DA REDE,5
SUBSTITUIÇÃO DE RAMAL,8
ABRIR JUMPER,11
FECHAR JUMPER,14
SUBSTITUIÇÃO DE POSTE TANGENTE – COM POSTE DESLOCADO,17
SUBSTITUIÇÃO DE POSTE EM ESTRUTURA FIM DE LINHA COM REDUÇÃO DE REDE,20
INSTALAR POSTE,24
RETIRAR POSTE,27
PODA EM REDE SECUNDARIA ENERGIZADA,29
CONTROLE DE REGISTROS,31
ANEXOS,31
REGISTRO DE ALTERAÇÕES,32
